,,,Ngày, MG95 
,,#NAME?,??n v? tính,USD/bbl
,,,5/1/2008,
,,,5/2/2008, 115.10 
,,,5/5/2008, 120.11 
,,,5/6/2008, 123.69 
,,,5/7/2008, 126.02 
,,,5/8/2008, 126.92 
,,,5/9/2008, 129.04 
,,,5/12/2008, 131.43 
,,,5/13/2008, 129.33 
,,,5/14/2008, 130.67 
,,,5/15/2008, 130.25 
,,,5/16/2008, 130.59 
,,,5/19/2008,
,,,5/20/2008, 132.20 
,,,5/21/2008, 135.55 
,,,5/22/2008, 140.55 
,,,5/23/2008, 137.45 
,,,5/26/2008, 138.39 
,,,5/27/2008, 138.95 
,,,5/28/2008, 133.95 
,,,5/29/2008, 137.20 
,,,5/30/2008, 135.27 
,,,6/2/2008, 136.64 
,,,6/3/2008, 138.28 
,,,6/4/2008, 136.46 
,,,6/5/2008, 133.37 
,,,6/6/2008, 137.31 
,,,6/9/2008, 146.14 
,,,6/10/2008, 140.28 
,,,6/11/2008, 139.43 
,,,6/12/2008, 141.72 
,,,6/13/2008, 143.29 
,,,6/16/2008, 139.85 
,,,6/17/2008, 140.11 
,,,6/18/2008, 139.30 
,,,6/19/2008, 141.97 
,,,6/20/2008, 137.81 
,,,6/23/2008, 141.11 
,,,6/24/2008, 141.31 
,,,6/25/2008, 141.34 
,,,6/26/2008, 138.24 
,,,6/27/2008, 145.94 
,,,6/30/2008, 146.39 
,,,7/1/2008, 145.32 
,,,7/2/2008, 144.49 
,,,7/3/2008, 147.51 
,,,7/4/2008, 147.79 
,,,7/7/2008, 145.39 
,,,7/8/2008, 143.55 
,,,7/9/2008, 140.14 
,,,7/10/2008, 138.76 
,,,7/11/2008, 145.31 
,,,7/14/2008, 144.08 
,,,7/15/2008, 144.12 
,,,7/16/2008, 137.72 
,,,7/17/2008, 133.67 
,,,7/18/2008, 130.04 
,,,7/21/2008, 129.62 
,,,7/22/2008, 130.67 
,,,7/23/2008, 124.87 
,,,7/24/2008, 122.01 
,,,7/25/2008, 123.77 
,,,7/28/2008, 122.43 
,,,7/29/2008, 124.45 
,,,7/30/2008, 121.25 
,,,7/31/2008, 124.32 
,,,8/1/2008, 121.38 
,,,8/4/2008, 123.29 
,,,8/5/2008, 118.02 
,,,8/6/2008, 117.49 
,,,8/7/2008, 116.74 
,,,8/8/2008, 116.43 
,,,8/11/2008, 114.99 
,,,8/12/2008, 111.90 
,,,8/13/2008, 112.68 
,,,8/14/2008, 116.87 
,,,8/15/2008, 112.33 
,,,8/18/2008, 112.71 
,,,8/19/2008, 110.36 
,,,8/20/2008, 112.57 
,,,8/21/2008, 114.07 
,,,8/22/2008, 117.96 
,,,8/25/2008, 113.03 
,,,8/26/2008, 112.59 
,,,8/27/2008, 114.75 
,,,8/28/2008, 118.11 
,,,8/29/2008, 117.11 
,,,9/1/2008, 118.65 
,,,9/2/2008, 107.06 
,,,9/3/2008, 108.57 
,,,9/4/2008, 110.59 
,,,9/5/2008, 107.27 
,,,9/8/2008, 109.42 
,,,9/9/2008, 108.21 
,,,9/10/2008, 107.42 
,,,9/11/2008, 106.60 
,,,9/12/2008, 109.57 
,,,9/15/2008, 105.40 
,,,9/16/2008, 99.76 
,,,9/17/2008, 99.71 
,,,9/18/2008, 99.64 
,,,9/19/2008, 102.75 
,,,9/22/2008, 108.09 
,,,9/23/2008, 111.56 
,,,9/24/2008, 111.72 
,,,9/25/2008, 108.75 
,,,9/26/2008, 108.85 
,,,9/29/2008, 106.83 
,,,9/30/2008, 99.76 
,,,10/1/2008,
,,,10/2/2008, 101.32 
,,,10/3/2008, 97.93 
,,,10/6/2008, 93.53 
,,,10/7/2008, 92.71 
,,,10/8/2008, 89.18 
,,,10/9/2008, 91.18 
,,,10/10/2008, 88.65 
,,,10/13/2008, 86.55 
,,,10/14/2008, 88.63 
,,,10/15/2008, 84.24 
,,,10/16/2008, 77.40 
,,,10/17/2008, 74.92 
,,,10/20/2008, 75.88 
,,,10/21/2008, 74.29 
,,,10/22/2008, 69.72 
,,,10/23/2008, 66.97 
,,,10/24/2008, 64.17 
,,,10/27/2008,
,,,10/28/2008, 62.32 
,,,10/29/2008, 63.02 
,,,10/30/2008, 67.46 
,,,10/31/2008, 59.47 
,,,11/3/2008, 62.02 
,,,11/4/2008, 55.92 
,,,11/5/2008, 59.92 
,,,11/6/2008, 56.04 
,,,11/7/2008, 53.75 
,,,11/10/2008, 55.50 
,,,11/11/2008, 52.63 
,,,11/12/2008, 50.78 
,,,11/13/2008, 47.79 
,,,11/14/2008, 49.09 
,,,11/17/2008, 46.22 
,,,11/18/2008, 44.52 
,,,11/19/2008, 42.12 
,,,11/20/2008, 41.04 
,,,11/21/2008, 39.36 
,,,11/24/2008, 39.31 
,,,11/25/2008, 43.25 
,,,11/26/2008, 40.50 
,,,11/27/2008, 43.50 
,,,11/28/2008, 44.98 
,,,12/1/2008, 45.20 
,,,12/2/2008, 40.03 
,,,12/3/2008, 39.07 
,,,12/4/2008, 36.30 
,,,12/5/2008, 34.60 
,,,12/8/2008,
,,,12/9/2008, 36.68 
,,,12/10/2008, 37.45 
,,,12/11/2008, 39.13 
,,,12/12/2008, 42.85 
,,,12/15/2008, 44.87 
,,,12/16/2008, 44.34 
,,,12/17/2008, 46.17 
,,,12/18/2008, 46.61 
,,,12/19/2008, 45.71 
,,,12/22/2008, 45.52 
,,,12/23/2008, 40.15 
,,,12/24/2008, 38.96 
,,,12/29/2008, 38.87 
,,,12/30/2008, 39.36 
,,,12/31/2008, 39.19 
,,,1/2/2009, 44.91 
,,,1/5/2009, 47.42 
,,,1/6/2009, 50.33 
,,,1/7/2009, 50.83 
,,,1/8/2009, 46.10 
,,,1/9/2009, 47.60 
,,,1/12/2009, 47.15 
,,,1/13/2009, 47.58 
,,,1/14/2009, 51.19 
,,,1/15/2009, 53.34 
,,,1/16/2009, 55.66 
,,,1/19/2009, 54.59 
,,,1/20/2009, 53.69 
,,,1/21/2009, 55.05 
,,,1/22/2009, 58.84 
,,,1/23/2009, 57.14 
,,,1/26/2009,
,,,1/27/2009,
,,,1/28/2009, 55.95 
,,,1/29/2009, 56.36 
,,,1/30/2009, 58.59 
,,,2/2/2009, 59.59 
,,,2/3/2009, 57.52 
,,,2/4/2009, 57.64 
,,,2/5/2009, 58.34 
,,,2/6/2009, 59.39 
,,,2/9/2009, 58.75 
,,,2/10/2009, 59.62 
,,,2/11/2009, 60.69 
,,,2/12/2009, 62.36 
,,,2/13/2009, 65.34 
,,,2/16/2009, 63.93 
,,,2/17/2009, 61.15 
,,,2/18/2009, 55.02 
,,,2/19/2009, 54.46 
,,,2/20/2009, 54.68 
,,,2/23/2009, 55.07 
,,,2/24/2009, 53.01 
,,,2/25/2009, 52.78 
,,,2/26/2009, 54.43 
,,,2/27/2009, 55.55 
,,,3/2/2009, 52.94 
,,,3/3/2009, 48.66 
,,,3/4/2009, 51.50 
,,,3/5/2009, 52.87 
,,,3/6/2009, 50.49 
,,,3/9/2009, 51.59 
,,,3/10/2009, 49.69 
,,,3/11/2009, 46.99 
,,,3/12/2009, 47.00 
,,,3/13/2009, 52.21 
,,,3/16/2009, 50.65 
,,,3/17/2009, 53.30 
,,,3/18/2009, 56.62 
,,,3/19/2009, 57.36 
,,,3/20/2009, 57.86 
,,,3/23/2009, 58.21 
,,,3/24/2009, 59.18 
,,,3/25/2009, 59.60 
,,,3/26/2009, 61.11 
,,,3/27/2009, 60.40 
,,,3/30/2009, 57.75 
,,,3/31/2009, 56.34 
,,,4/1/2009, 57.19 
,,,4/2/2009, 57.45 
,,,4/3/2009, 60.04 
,,,4/6/2009, 63.14 
